28,97,92,88
36,13,37,63
18,3,93,36
6,33,99,9
18,31,43,96
61,90,66,78
79,95,71,80
32,94,19,47
46,1,72,84
60,99,18,44
41,73,45,57
48,91,36,73
17,25,93,22
22,100,3,79
63,43,14,23
57,47,20,64
70,96,10,20
84,75,35,31
75,78,99,59
66,9,67,99
73,69,39,53
36,13,30,74
15,23,65,59
89,78,88,22
40,21,22,23
80,37,45,11
31,21,18,51
86,45,38,69
45,17,33,30
87,44,74,15
8,5,82,16
46,38,74,95
2,41,54,81
96,42,7,27
18,48,91,13
79,7,29,11
44,20,95,88
21,100,72,37
32,73,53,83
9,67,13,9
95,35,45,11
70,60,10,80
14,32,56,99
10,53,39,90
84,74,93,92
70,46,99,33
15,91,48,24
48,25,42,85
26,45,90,70
49,78,90,28
25,30,26,7
13,19,79,70
4,42,75,48
99,5,72,60
20,88,23,59
84,26,26,46
94,18,42,64
63,46,68,52
85,41,76,50
59,64,55,6
47,67,16,24
8,34,55,36
38,21,45,39
75,36,29,96
22,98,22,87
28,95,37,75
94,52,81,3
93,56,66,90
46,50,41,1
97,42,19,59
28,67,32,27
99,85,3,4
36,63,14,56
24,99,54,33
13,8,39,14
80,99,61,61
71,43,20,16
9,42,31,22
90,62,39,64
11,41,18,43
84,46,17,83
73,86,15,61
16,73,65,35
12,56,70,2
97,52,94,66
21,2,15,24
63,52,4,70
62,64,84,61
66,72,28,56
12,13,70,66
75,76,38,87
89,64,52,28
56,7,89,25
30,51,60,68
85,100,97,25
76,100,97,75
57,53,64,85
46,77,99,50
54,98,32,62
94,72,9,20
89,76,5,97
61,63,84,71
69,40,29,14
28,38,30,64
65,14,70,61
41,76,31,23
69,98,42,89
14,15,89,36
